Day Index,Pageviews
1/1/15,12793.00
1/2/15,20706.00
1/3/15,18729.00
1/4/15,19442.00
1/5/15,16331.00
1/6/15,18833.00
1/7/15,14380.00
1/8/15,13585.00
1/9/15,12912.00
1/10/15,14498.00
1/11/15,18713.00
1/12/15,15097.00
1/13/15,17433.00
1/14/15,21188.00
1/15/15,25870.00
1/16/15,13343.00
1/17/15,12717.00
1/18/15,15574.00
1/19/15,15190.00
1/20/15,14234.00
1/21/15,13015.00
1/22/15,13731.00
1/23/15,12293.00
1/24/15,13585.00
1/25/15,16706.00
1/26/15,15105.00
1/27/15,14498.00
1/28/15,13600.00
1/29/15,13120.00
1/30/15,11069.00
1/31/15,14359.00
2/1/15,12811.00
2/2/15,16037.00
2/3/15,15590.00
2/4/15,14472.00
2/5/15,13419.00
2/6/15,11835.00
2/7/15,12780.00
2/8/15,17404.00
2/9/15,15823.00
2/10/15,15712.00
2/11/15,13170.00
2/12/15,12129.00
2/13/15,11402.00
2/14/15,12193.00
2/15/15,16853.00
2/16/15,15950.00
2/17/15,16468.00
2/18/15,14624.00
2/19/15,15234.00
2/20/15,13736.00
2/21/15,14712.00
2/22/15,18316.00
2/23/15,15645.00
2/24/15,16873.00
2/25/15,16089.00
2/26/15,13764.00
2/27/15,12444.00
2/28/15,14518.00
3/1/15,18886.00
3/2/15,16324.00
3/3/15,15554.00
3/4/15,14864.00
3/5/15,16150.00
3/6/15,12143.00
3/7/15,13825.00
3/8/15,18167.00
3/9/15,15330.00
3/10/15,16078.00
3/11/15,15463.00
3/12/15,14722.00
3/13/15,13247.00
3/14/15,14772.00
3/15/15,15859.00
3/16/15,18552.00
3/17/15,17174.00
3/18/15,16910.00
3/19/15,15546.00
3/20/15,15453.00
3/21/15,16602.00
3/22/15,21947.00
3/23/15,18256.00
3/24/15,17534.00
3/25/15,16837.00
3/26/15,18192.00
3/27/15,16469.00
3/28/15,15399.00
3/29/15,22466.00
3/30/15,20849.00
3/31/15,20965.00
4/1/15,18200.00
4/2/15,18387.00
4/3/15,16125.00
4/4/15,16103.00
4/5/15,17414.00
4/6/15,18142.00
4/7/15,20471.00
4/8/15,19102.00
4/9/15,17199.00
4/10/15,24310.00
4/11/15,17780.00
4/12/15,22991.00
4/13/15,20961.00
4/14/15,22542.00
4/15/15,18510.00
4/16/15,19051.00
4/17/15,18761.00
4/18/15,27513.00
4/19/15,26118.00
4/20/15,21742.00
4/21/15,19135.00
4/22/15,17241.00
4/23/15,16696.00
4/24/15,14683.00
4/25/15,16038.00
4/26/15,22286.00
4/27/15,22068.00
4/28/15,20587.00
4/29/15,19480.00
4/30/15,18128.00
5/1/15,15299.00
5/2/15,14890.00
5/3/15,20424.00
5/4/15,22207.00
5/5/15,21377.00
5/6/15,18487.00
5/7/15,15093.00
5/8/15,13681.00
5/9/15,15185.00
5/10/15,17158.00
5/11/15,19788.00
5/12/15,19024.00
5/13/15,17234.00
5/14/15,15927.00
5/15/15,14794.00
5/16/15,14680.00
5/17/15,22511.00
5/18/15,20568.00
5/19/15,27953.00
5/20/15,26944.00
5/21/15,17995.00
5/22/15,18248.00
5/23/15,17754.00
5/24/15,17585.00
5/25/15,25695.00
5/26/15,18970.00
5/27/15,19509.00
5/28/15,16229.00
5/29/15,13397.00
5/30/15,14665.00
5/31/15,20594.00
6/1/15,20557.00
6/2/15,18784.00
6/3/15,16660.00
6/4/15,16675.00
6/5/15,15122.00
6/6/15,14172.00
6/7/15,19232.00
6/8/15,22698.00
6/9/15,21158.00
6/10/15,18470.00
6/11/15,17861.00
6/12/15,16135.00
6/13/15,14827.00
6/14/15,31061.00
6/15/15,31098.00
6/16/15,26116.00
6/17/15,28178.00
6/18/15,22122.00
6/19/15,18096.00
6/20/15,17874.00
6/21/15,23522.00
6/22/15,25699.00
6/23/15,21508.00
6/24/15,19185.00
6/25/15,18874.00
6/26/15,15932.00
6/27/15,19867.00
6/28/15,28394.00
6/29/15,24972.00
6/30/15,22252.00
7/1/15,21047.00
7/2/15,19249.00
7/3/15,15568.00
7/4/15,17530.00
7/5/15,30329.00
7/6/15,24797.00
7/7/15,24826.00
7/8/15,21232.00
7/9/15,19877.00
7/10/15,15770.00
7/11/15,17517.00
7/12/15,26026.00
7/13/15,26209.00
7/14/15,21979.00
7/15/15,21139.00
7/16/15,25185.00
7/17/15,21125.00
7/18/15,21882.00
7/19/15,29472.00
7/20/15,26996.00
7/21/15,27342.00
7/22/15,20969.00
7/23/15,20900.00
7/24/15,18216.00
7/25/15,17173.00
7/26/15,23153.00
7/27/15,23945.00
7/28/15,20732.00
7/29/15,20056.00
7/30/15,20028.00
7/31/15,19917.00
8/1/15,18248.00
8/2/15,21411.00
8/3/15,23229.00
8/4/15,21860.00
8/5/15,29763.00
8/6/15,20102.00
8/7/15,15928.00
8/8/15,15510.00
8/9/15,21663.00
8/10/15,22823.00
8/11/15,22116.00
8/12/15,19727.00
8/13/15,17859.00
8/14/15,15993.00
8/15/15,16133.00
8/16/15,22260.00
8/17/15,22730.00
8/18/15,21599.00
8/19/15,20655.00
8/20/15,17748.00
8/21/15,16398.00
8/22/15,16577.00
8/23/15,25738.00
8/24/15,21822.00
8/25/15,19916.00
8/26/15,17606.00
8/27/15,16088.00
8/28/15,20255.00
8/29/15,21921.00
8/30/15,26294.00
8/31/15,22458.00
9/1/15,19549.00
9/2/15,18907.00
9/3/15,17005.00
9/4/15,14825.00
9/5/15,19044.00
9/6/15,21280.00
9/7/15,26012.00
9/8/15,23246.00
9/9/15,19373.00
9/10/15,18055.00
9/11/15,16491.00
9/12/15,18786.00
9/13/15,25962.00
9/14/15,20553.00
9/15/15,23652.00
9/16/15,20057.00
9/17/15,16725.00
9/18/15,15508.00
9/19/15,19542.00
9/20/15,26056.00
9/21/15,21620.00
9/22/15,20415.00
9/23/15,17982.00
9/24/15,18466.00
9/25/15,16824.00
9/26/15,16796.00
9/27/15,23650.00
9/28/15,21148.00
9/29/15,19937.00
9/30/15,17486.00
10/1/15,16954.00
10/2/15,16590.00
10/3/15,17757.00
10/4/15,24528.00
10/5/15,22299.00
10/6/15,21698.00
10/7/15,19022.00
10/8/15,19311.00
10/9/15,16164.00
10/10/15,16513.00
10/11/15,22501.00
10/12/15,20418.00
10/13/15,19072.00
10/14/15,19084.00
10/15/15,16123.00
10/16/15,14506.00
10/17/15,21284.00
10/18/15,25257.00
10/19/15,22450.00
10/20/15,17711.00
10/21/15,18857.00
10/22/15,17413.00
10/23/15,15573.00
10/24/15,15817.00
10/25/15,23135.00
10/26/15,19502.00
10/27/15,18286.00
10/28/15,18490.00
10/29/15,18047.00
10/30/15,14056.00
10/31/15,13949.00
11/1/15,25210.00
11/2/15,21597.00
11/3/15,19656.00
11/4/15,18070.00
11/5/15,21331.00
11/6/15,18718.00
11/7/15,21386.00
11/8/15,24801.00
11/9/15,22488.00
11/10/15,22668.00
11/11/15,21438.00
11/12/15,24040.00
11/13/15,20084.00
11/14/15,20388.00
11/15/15,26927.00
11/16/15,23812.00
11/17/15,23121.00
11/18/15,18906.00
11/19/15,16138.00
11/20/15,16345.00
11/21/15,18038.00
11/22/15,24391.00
11/23/15,19459.00
11/24/15,18677.00
11/25/15,17902.00
11/26/15,14407.00
11/27/15,16544.00
11/28/15,34393.00
11/29/15,26960.00
11/30/15,18787.00
12/1/15,16941.00
12/2/15,20201.00
12/3/15,15955.00
12/4/15,16796.00
12/5/15,18060.00
12/6/15,21598.00
12/7/15,19622.00
12/8/15,18168.00
12/9/15,17674.00
12/10/15,19167.00
12/11/15,18332.00
12/12/15,17060.00
12/13/15,23946.00
12/14/15,20400.00
12/15/15,18741.00
12/16/15,17077.00
12/17/15,15729.00
12/18/15,14976.00
12/19/15,16336.00
12/20/15,19909.00
12/21/15,20605.00
12/22/15,18320.00
12/23/15,16931.00
12/24/15,13413.00
12/25/15,10995.00
12/26/15,14831.00
12/27/15,22751.00
12/28/15,24163.00
12/29/15,30119.00
12/30/15,22090.00
12/31/15,16195.00
1/1/16,26245.00
1/2/16,33020.00
1/3/16,52600.00
1/4/16,43431.00
1/5/16,37018.00
1/6/16,36159.00
1/7/16,33157.00
1/8/16,28071.00
1/9/16,37856.00
1/10/16,52573.00
1/11/16,39047.00
1/12/16,37141.00
1/13/16,36823.00
1/14/16,38682.00
1/15/16,32082.00
1/16/16,39268.00
1/17/16,52723.00
1/18/16,49989.00
1/19/16,44460.00
1/20/16,40533.00
1/21/16,35512.00
1/22/16,32837.00
1/23/16,38613.00
1/24/16,50090.00
1/25/16,39363.00
1/26/16,35253.00
1/27/16,33468.00
1/28/16,31298.00
1/29/16,27969.00
1/30/16,31579.00
1/31/16,46093.00
2/1/16,37322.00
2/2/16,34094.00
2/3/16,30922.00
2/4/16,28078.00
2/5/16,25321.00
2/6/16,29483.00
2/7/16,35333.00
2/8/16,32635.00
2/9/16,31437.00
2/10/16,29036.00
2/11/16,28981.00
2/12/16,29928.00
2/13/16,30692.00
2/14/16,33915.00
2/15/16,34341.00
2/16/16,32011.00
2/17/16,32735.00
2/18/16,28724.00
2/19/16,29528.00
2/20/16,29735.00
2/21/16,43695.00
2/22/16,35128.00
2/23/16,32594.00
2/24/16,27849.00
2/25/16,26236.00
2/26/16,23515.00
2/27/16,26533.00
2/28/16,36176.00
2/29/16,26130.00
3/1/16,27333.00
3/2/16,26410.00
3/3/16,24495.00
3/4/16,24700.00
3/5/16,27186.00
3/6/16,35333.00
3/7/16,31981.00
3/8/16,29670.00
3/9/16,33413.00
3/10/16,27643.00
3/11/16,26117.00
3/12/16,26723.00
3/13/16,35078.00
3/14/16,31410.00
3/15/16,31189.00
3/16/16,29728.00
3/17/16,24019.00
3/18/16,21856.00
3/19/16,23873.00
3/20/16,37079.00
3/21/16,33132.00
3/22/16,26936.00
3/23/16,24325.00
3/24/16,24157.00
3/25/16,20865.00
3/26/16,21877.00
3/27/16,23630.00
3/28/16,27889.00
3/29/16,25109.00
3/30/16,26206.00
3/31/16,26826.00
4/1/16,21226.00
4/2/16,23323.00
4/3/16,33588.00
4/4/16,33504.00
4/5/16,36285.00
4/6/16,30014.00
4/7/16,27930.00
4/8/16,29095.00
4/9/16,30785.00
4/10/16,42390.00
4/11/16,34676.00
4/12/16,32079.00
4/13/16,30063.00
4/14/16,27672.00
4/15/16,24740.00
4/16/16,24082.00
4/17/16,33428.00
4/18/16,31213.00
4/19/16,28662.00
4/20/16,27855.00
4/21/16,24848.00
4/22/16,21833.00
4/23/16,23079.00
4/24/16,32891.00
4/25/16,30191.00
4/26/16,27041.00
4/27/16,24059.00
4/28/16,21285.00
4/29/16,18637.00
4/30/16,21835.00
5/1/16,29411.00
5/2/16,28070.00
5/3/16,24784.00
5/4/16,26936.00
5/5/16,22483.00
5/6/16,20344.00
5/7/16,20660.00
5/8/16,26308.00
5/9/16,29069.00
5/10/16,28904.00
5/11/16,26248.00
5/12/16,23413.00
5/13/16,19904.00
5/14/16,22490.00
5/15/16,64430.00
5/16/16,50714.00
5/17/16,35154.00
5/18/16,31372.00
5/19/16,24991.00
5/20/16,20844.00
5/21/16,21838.00
5/22/16,31888.00
5/23/16,27736.00
5/24/16,24846.00
5/25/16,24524.00
5/26/16,20373.00
5/27/16,19408.00
5/28/16,20242.00
5/29/16,24030.00
5/30/16,26392.00
5/31/16,26432.00
6/1/16,24146.00
6/2/16,25090.00
6/3/16,23252.00
6/4/16,23197.00
6/5/16,42914.00
6/6/16,34802.00
6/7/16,30359.00
6/8/16,27629.00
6/9/16,25403.00
6/10/16,25301.00
6/11/16,23272.00
6/12/16,36443.00
6/13/16,31978.00
6/14/16,27871.00
6/15/16,24787.00
6/16/16,24679.00
6/17/16,21483.00
6/18/16,21375.00
6/19/16,29842.00
6/20/16,28085.00
6/21/16,26986.00
6/22/16,25889.00
6/23/16,22785.00
6/24/16,21533.00
6/25/16,21805.00
6/26/16,35750.00
6/27/16,31188.00
6/28/16,27080.00
6/29/16,24544.00
6/30/16,24947.00
7/1/16,20706.00
7/2/16,19950.00
7/3/16,22077.00
7/4/16,23958.00
7/5/16,26678.00
7/6/16,25414.00
7/7/16,23880.00
7/8/16,21735.00
7/9/16,20598.00
7/10/16,30757.00
7/11/16,28811.00
7/12/16,27886.00
7/13/16,24734.00
7/14/16,24349.00
7/15/16,22544.00
7/16/16,21242.00
7/17/16,30377.00
7/18/16,30306.00
7/19/16,30160.00
7/20/16,31785.00
7/21/16,24513.00
7/22/16,19387.00
7/23/16,21453.00
7/24/16,29894.00
7/25/16,27344.00
7/26/16,25823.00
7/27/16,24512.00
7/28/16,23185.00
7/29/16,20453.00
7/30/16,24148.00
7/31/16,31864.00
8/1/16,29307.00
8/2/16,26710.00
8/3/16,24514.00
8/4/16,26599.00
8/5/16,23973.00
8/6/16,21336.00
8/7/16,28191.00
8/8/16,28153.00
8/9/16,24997.00
8/10/16,46284.00
8/11/16,30896.00
8/12/16,23861.00
8/13/16,24109.00
8/14/16,33274.00
8/15/16,30871.00
8/16/16,27604.00
8/17/16,24940.00
8/18/16,21846.00
8/19/16,21411.00
8/20/16,23296.00
8/21/16,32491.00
8/22/16,29316.00
8/23/16,27900.00
8/24/16,25360.00
8/25/16,22293.00
8/26/16,21676.00
8/27/16,25241.00
8/28/16,34003.00
8/29/16,27770.00
8/30/16,27166.00
8/31/16,25244.00
9/1/16,23479.00
9/2/16,20872.00
9/3/16,29031.00
9/4/16,33023.00
9/5/16,41150.00
9/6/16,32413.00
9/7/16,27520.00
9/8/16,25435.00
9/9/16,21989.00
9/10/16,25555.00
9/11/16,38432.00
9/12/16,29954.00
9/13/16,26604.00
9/14/16,26846.00
9/15/16,23240.00
9/16/16,20097.00
9/17/16,25450.00
9/18/16,38589.00
9/19/16,37787.00
9/20/16,29425.00
9/21/16,26874.00
9/22/16,23090.00
9/23/16,20943.00
9/24/16,25518.00
9/25/16,36071.00
9/26/16,32343.00
9/27/16,29573.00
9/28/16,26409.00
9/29/16,22857.00
9/30/16,21830.00
10/1/16,25578.00
10/2/16,38299.00
10/3/16,32055.00
10/4/16,26297.00
10/5/16,22751.00
10/6/16,20986.00
10/7/16,21603.00
10/8/16,22529.00
10/9/16,30872.00
10/10/16,27967.00
10/11/16,24398.00
10/12/16,24522.00
10/13/16,23643.00
10/14/16,21814.00
10/15/16,23418.00
10/16/16,33674.00
10/17/16,28140.00
10/18/16,27372.00
10/19/16,24039.00
10/20/16,21524.00
10/21/16,19375.00
10/22/16,22587.00
10/23/16,32771.00
10/24/16,27959.00
10/25/16,18054.00
10/26/16,22126.00
10/27/16,20880.00
10/28/16,18462.00
10/29/16,20661.00
10/30/16,30967.00
10/31/16,22768.00
11/1/16,24036.00
11/2/16,23363.00
11/3/16,20142.00
11/4/16,18605.00
11/5/16,23956.00
11/6/16,35306.00
11/7/16,27078.00
11/8/16,22182.00
11/9/16,22203.00
11/10/16,20499.00
11/11/16,18786.00
11/12/16,21832.00
11/13/16,32078.00
11/14/16,25399.00
11/15/16,33060.00
11/16/16,25103.00
11/17/16,21864.00
11/18/16,17858.00
11/19/16,21975.00
11/20/16,27933.00
11/21/16,22142.00
11/22/16,20330.00
11/23/16,19712.00
11/24/16,17293.00
11/25/16,13400.00
11/26/16,17974.00
11/27/16,28839.00
11/28/16,22501.00
11/29/16,22128.00
11/30/16,21679.00
12/1/16,20258.00
12/2/16,18087.00
12/3/16,19849.00
12/4/16,29398.00
12/5/16,23086.00
12/6/16,22083.00
12/7/16,20121.00
12/8/16,18601.00
12/9/16,17490.00
12/10/16,19709.00
12/11/16,28886.00
12/12/16,22765.00
12/13/16,20692.00
12/14/16,19494.00
12/15/16,17078.00
12/16/16,16706.00
12/17/16,20279.00
12/18/16,24508.00
12/19/16,20646.00
12/20/16,20158.00
12/21/16,18933.00
12/22/16,17636.00
12/23/16,16732.00
12/24/16,14522.00
12/25/16,14394.00
12/26/16,19958.00
12/27/16,22335.00
12/28/16,26394.00
12/29/16,25405.00
12/30/16,23703.00
12/31/16,22081.00
1/1/17,38971.00
1/2/17,62109.00
1/3/17,52408.00
1/4/17,57038.00
1/5/17,51854.00
1/6/17,46374.00
1/7/17,59712.00
1/8/17,89177.00
1/9/17,70546.00
1/10/17,58022.00
1/11/17,48957.00
1/12/17,47213.00
1/13/17,43258.00
1/14/17,49659.00
1/15/17,67618.00
1/16/17,66231.00
1/17/17,52463.00
1/18/17,45711.00
1/19/17,44082.00
1/20/17,45254.00
1/21/17,54797.00
1/22/17,81157.00
1/23/17,58232.00
1/24/17,54219.00
1/25/17,43176.00
1/26/17,39108.00
1/27/17,36685.00
1/28/17,44921.00
1/29/17,69651.00
1/30/17,51027.00
1/31/17,47295.00
2/1/17,39448.00
2/2/17,38530.00
2/3/17,37129.00
2/4/17,48517.00
2/5/17,56296.00
2/6/17,46384.00
2/7/17,44253.00
2/8/17,38660.00
2/9/17,37858.00
2/10/17,34004.00
2/11/17,40416.00
2/12/17,62555.00
2/13/17,43963.00
2/14/17,30013.00
2/15/17,34597.00
2/16/17,34838.00
2/17/17,31446.00
2/18/17,35038.00
2/19/17,51839.00
2/20/17,55621.00
2/21/17,42558.00
2/22/17,37314.00
2/23/17,35295.00
2/24/17,31569.00
2/25/17,38318.00
2/26/17,60764.00
2/27/17,48866.00
2/28/17,46633.00
3/1/17,37691.00
3/2/17,35097.00
3/3/17,33156.00
3/4/17,38529.00
3/5/17,64131.00
3/6/17,48003.00
3/7/17,50159.00
3/8/17,40659.00
3/9/17,35511.00
3/10/17,33511.00
3/11/17,39204.00
3/12/17,57215.00
3/13/17,43859.00
3/14/17,46953.00
3/15/17,37941.00
3/16/17,32206.00
3/17/17,26482.00
3/18/17,35982.00
3/19/17,56032.00
3/20/17,44568.00
3/21/17,41840.00
3/22/17,41344.00
3/23/17,39243.00
3/24/17,32064.00
3/25/17,34015.00
3/26/17,57612.00
3/27/17,54779.00
3/28/17,43435.00
3/29/17,36784.00
3/30/17,36010.00
3/31/17,32409.00
4/1/17,34481.00
4/2/17,55925.00
4/3/17,46193.00
4/4/17,41307.00
4/5/17,36296.00
4/6/17,33631.00
4/7/17,28565.00
4/8/17,32412.00
4/9/17,49792.00
4/10/17,41379.00
4/11/17,35339.00
4/12/17,38759.00
4/13/17,33697.00
4/14/17,34159.00
4/15/17,29605.00
4/16/17,34401.00
4/17/17,55353.00
4/18/17,39996.00
4/19/17,35265.00
4/20/17,31382.00
4/21/17,29403.00
4/22/17,32267.00
4/23/17,51910.00
4/24/17,42815.00
4/25/17,35148.00
4/26/17,30571.00
4/27/17,32797.00
4/28/17,27364.00
4/29/17,32824.00
4/30/17,50219.00
5/1/17,44475.00
5/2/17,36956.00
5/3/17,33615.00
5/4/17,29935.00
5/5/17,25592.00
5/6/17,39734.00
5/7/17,54114.00
5/8/17,45216.00
5/9/17,38696.00
5/10/17,36312.00
5/11/17,31083.00
5/12/17,26133.00
5/13/17,30538.00
5/14/17,37913.00
5/15/17,39950.00
5/16/17,34252.00
5/17/17,29006.00
5/18/17,28972.00
5/19/17,26374.00
5/20/17,28195.00
5/21/17,42290.00
5/22/17,42317.00
5/23/17,35238.00
5/24/17,30522.00
5/25/17,28971.00
5/26/17,25861.00
5/27/17,29024.00
5/28/17,37480.00
5/29/17,46302.00
5/30/17,41226.00
5/31/17,34316.00
6/1/17,34125.00
6/2/17,28248.00
6/3/17,32870.00
6/4/17,50393.00
6/5/17,45895.00
6/6/17,44369.00
6/7/17,36149.00
6/8/17,29277.00
6/9/17,34938.00
6/10/17,29406.00
6/11/17,44604.00
6/12/17,41001.00
6/13/17,33550.00
6/14/17,32882.00
6/15/17,31984.00
6/16/17,25474.00
6/17/17,24773.00
6/18/17,36159.00
6/19/17,33834.00
6/20/17,29513.00
6/21/17,26612.00
6/22/17,26548.00
6/23/17,24442.00
6/24/17,25021.00
6/25/17,37229.00
6/26/17,34515.00
6/27/17,33449.00
6/28/17,28235.00
6/29/17,27990.00
6/30/17,27635.00
7/1/17,26343.00
7/2/17,34486.00
7/3/17,31697.00
7/4/17,33976.00
7/5/17,32791.00
7/6/17,33279.00
7/7/17,28348.00
7/8/17,28133.00
7/9/17,45524.00
7/10/17,38772.00
7/11/17,33662.00
7/12/17,32556.00
7/13/17,29853.00
7/14/17,25294.00
7/15/17,25937.00
7/16/17,44511.00
7/17/17,37283.00
7/18/17,32864.00
7/19/17,28692.00
7/20/17,25418.00
7/21/17,22450.00
7/22/17,25005.00
7/23/17,37811.00
7/24/17,35001.00
7/25/17,30622.00
7/26/17,27209.00
7/27/17,25291.00
7/28/17,24532.00
7/29/17,28286.00
7/30/17,40887.00
7/31/17,39954.00
8/1/17,32516.00
8/2/17,28660.00
8/3/17,26063.00
8/4/17,23635.00
8/5/17,26532.00
8/6/17,40488.00
8/7/17,36486.00
8/8/17,29654.00
8/9/17,27230.00
8/10/17,28940.00
8/11/17,24801.00
8/12/17,26071.00
8/13/17,40475.00
8/14/17,33882.00
8/15/17,31697.00
8/16/17,28327.00
8/17/17,26087.00
8/18/17,29804.00
8/19/17,27912.00
8/20/17,45312.00
8/21/17,35339.00
8/22/17,32623.00
8/23/17,28754.00
8/24/17,38329.00
8/25/17,26624.00
8/26/17,32708.00
8/27/17,43306.00
8/28/17,35229.00
8/29/17,32167.00
8/30/17,26755.00
8/31/17,24358.00
9/1/17,23559.00
9/2/17,25339.00
9/3/17,31537.00
9/4/17,41579.00
9/5/17,32544.00
9/6/17,30964.00
9/7/17,27622.00
9/8/17,22962.00
9/9/17,26426.00
9/10/17,46424.00
9/11/17,37748.00
9/12/17,32147.00
9/13/17,27779.00
9/14/17,43110.00
9/15/17,27422.00
9/16/17,27289.00
9/17/17,43580.00
9/18/17,34520.00
9/19/17,30998.00
9/20/17,28236.00
9/21/17,25361.00
9/22/17,22499.00
9/23/17,25080.00
9/24/17,42990.00
9/25/17,37721.00
9/26/17,33197.00
9/27/17,31066.00
9/28/17,28562.00
9/29/17,22234.00
9/30/17,26247.00
10/1/17,40001.00
10/2/17,30500.00
10/3/17,29195.00
10/4/17,28423.00
10/5/17,25245.00
10/6/17,20939.00
10/7/17,25082.00
10/8/17,35730.00
10/9/17,32475.00
10/10/17,27681.00
10/11/17,24930.00
10/12/17,22750.00
10/13/17,20253.00
10/14/17,27775.00
10/15/17,40191.00
10/16/17,31394.00
10/17/17,29136.00
10/18/17,23522.00
10/19/17,22896.00
10/20/17,20576.00
10/21/17,23669.00
10/22/17,36441.00
10/23/17,34741.00
10/24/17,31838.00
10/25/17,25666.00
10/26/17,23281.00
10/27/17,26566.00
10/28/17,27667.00
10/29/17,37469.00
10/30/17,29081.00
10/31/17,22059.00
11/1/17,22084.00
11/2/17,21291.00
11/3/17,23333.00
11/4/17,26180.00
